Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1592.9898577606443,OUT049
FDW14,1431.9495756809683,OUT017
NCN55,576.5770785721402,OUT010
FDQ58,2488.968113168794,OUT017
FDY38,5871.133905983622,OUT027
FDH56,1930.0517748785453,OUT046
FDL48,738.8616184781007,OUT018
FDC48,2218.1172352569774,OUT027
FDN33,1529.0267697758165,OUT045
FDA36,3061.905236665677,OUT017
FDT44,1952.6460283831452,OUT017
FDQ56,1420.583526338753,OUT045
NCC54,576.278556591648,OUT019
FDU11,2011.416487353943,OUT049
DRL59,843.1908378482972,OUT013
FDM24,2478.198121215858,OUT049
FDI57,3119.2489673662803,OUT045
DRC12,3061.877222257039,OUT018
NCM42,2916.9761714719,OUT027
FDA46,503.17615873393584,OUT010
FDA31,2852.243889161893,OUT013
NCJ31,3865.983714027794,OUT035
FDG52,739.7676519802127,OUT046
NCL19,289.0847178027061,OUT019
FDS10,3025.6082299664718,OUT035
FDX22,567.9806293697015,OUT010
NCF19,736.6294389698613,OUT035
NCE06,2568.4321791201464,OUT046
DRC27,3889.763369602421,OUT046
FDE21,1930.0517748785453,OUT035
NCR42,131.07514040971412,OUT019
FDX51,3061.877222257039,OUT018
NCR06,670.3396649574836,OUT018
FDU31,5871.133905983622,OUT027
FDU59,2582.3660431101175,OUT017
FDR03,5871.133905983622,OUT027
FDS49,2138.4269742587376,OUT027
FDD48,270.6385156387412,OUT010
NCF18,3064.687431409193,OUT017
NCD43,2867.807581388706,OUT027
NCD54,2124.958853745168,OUT018
FDY19,271.2554971860789,OUT010
NCY54,2852.243889161893,OUT017
NCL19,2462.296583182226,OUT018
FDP23,573.809108116824,OUT010
FDC26,1734.0794975227077,OUT013
FDR14,131.07514040971412,OUT010
NCS41,3061.905236665677,OUT035
FDF41,3903.16587067823,OUT035
FDU34,2016.715090085275,OUT046
DRH11,955.2607482929056,OUT046
FDM03,1590.4993096268947,OUT013
FDS31,3031.3389573289746,OUT017
FDJ20,2011.416487353943,OUT017
FDV44,5059.895138482897,OUT027
FDG02,3064.687431409193,OUT049
FDA09,2967.3205765200896,OUT013
FDT04,706.5806203257059,OUT013
FDL58,573.7968861070373,OUT019
FDE52,1475.6511023617024,OUT045
FDW12,2462.296583182226,OUT035
FDL51,3670.596631639147,OUT017
NCY42,3033.783493827237,OUT027
FDR07,1530.6695129393336,OUT017
FDN40,2482.9509852144474,OUT045
FDB35,2679.983866742388,OUT027
FDA22,2585.149037093638,OUT017
NCL06,4092.653139074275,OUT046
FDI35,3031.3389573289746,OUT013
NCW42,3752.2245837419678,OUT045
NCX06,2988.4024069610527,OUT049
FDC37,2892.9973585796524,OUT027
FDZ14,2011.416487353943,OUT018
DRG49,3875.9138363157067,OUT049
NCG06,4053.5140787273554,OUT045
DRC36,2852.243889161893,OUT045
FDV21,282.50694102253686,OUT019
FDB53,2469.389100532442,OUT046
DRP47,576.278556591648,OUT019
FDA14,2469.389100532442,OUT013
DRC24,2482.9509852144474,OUT035
FDW21,1567.5972808037068,OUT018
NCH29,1530.6695129393336,OUT046
FDU58,3061.905236665677,OUT013
FDY27,2880.993720475801,OUT017
FDV56,1607.241966605009,OUT035
FDT59,3812.3815479472028,OUT046
FDB23,3776.1648921933515,OUT046
FDR49,735.7140597284991,OUT045
FDB03,576.5770785721402,OUT010
FDN39,2585.149037093638,OUT045
FDX02,5871.133905983622,OUT027
FDQ16,2892.9973585796524,OUT027
FDU35,1537.9032497439687,OUT018
NCT29,2011.416487353943,OUT013
FDZ27,739.7676519802127,OUT046
FDN57,2030.558397338778,OUT017
FDA03,2469.389100532442,OUT018
FDZ36,3061.905236665677,OUT045
NCU05,1482.9062416753359,OUT013
FDT39,2473.902711631867,OUT018
FDK60,1530.6695129393336,OUT017
FDZ25,2748.3911266306372,OUT017
FDG12,2011.416487353943,OUT046
DRB01,501.31150027142337,OUT019
NCC43,5871.133905983622,OUT027
FDX13,573.7968861070373,OUT019
FDM22,868.0893312574336,OUT049
FDJ03,1061.5895755767515,OUT027
FDU14,3812.8208742024462,OUT018
FDB33,378.5591200226116,OUT010
FDP27,3064.687431409193,OUT046
FDO38,159.90578862199447,OUT010
FDE28,5871.133905983622,OUT027
FDO27,1523.9571642929843,OUT035
DRL23,2889.0484256406257,OUT027
FDS28,951.6744841695577,OUT046
FDX24,1537.5974173508957,OUT013
FDZ02,1530.6695129393336,OUT035
FDL46,1930.0517748785453,OUT045
FDS60,4724.969880524442,OUT027
NCO06,662.6509990534339,OUT017
FDO16,1413.995898701312,OUT035
FDC60,1433.3981001635975,OUT049
FDA48,3524.3761204974244,OUT018
FDZ36,5059.895138482897,OUT027
FDK27,2008.5521906568028,OUT045
FDW23,667.9985176291136,OUT018
FDM14,1698.2048136121866,OUT018
FDM14,1592.9898577606443,OUT013
FDW60,2878.1835113236475,OUT018
FDE21,1930.0517748785453,OUT013
NCM42,1609.4122563755748,OUT035
FDY59,226.94082282579438,OUT010
DRI49,1367.2695830204184,OUT049
FDT28,361.36059577040805,OUT019
FDQ22,668.7758801574861,OUT018
FDR60,1320.2688386373986,OUT049
FDC50,232.28761639739855,OUT019
FDV24,2478.198121215858,OUT013
DRF48,488.90955322974844,OUT010
FDQ47,668.9560884459282,OUT046
DRN36,1530.6695129393336,OUT049
NCY06,2019.517827795074,OUT035
FDE52,1474.0051216878003,OUT035
NCB54,2019.517827795074,OUT045
NCF31,2482.9509852144474,OUT035
FDJ08,5068.179174646382,OUT027
NCC07,1588.1196100332904,OUT017
NCD19,1234.5105254057592,OUT027
FDL46,1960.5945613135214,OUT049
FDM20,3893.9068452079955,OUT045
NCI06,448.7087192046347,OUT010
DRM11,4098.884174210894,OUT035
NCH07,2547.1477608861223,OUT018
FDS23,2027.8105567469022,OUT013
FDO49,737.3942186676433,OUT018
FDS35,1068.9940940602837,OUT049
DRK39,1387.4728844947144,OUT045
DRI39,921.346159694632,OUT049
FDV04,2549.957970038276,OUT017
NCN14,3061.905236665677,OUT035
FDH08,3807.4621202137273,OUT013
FDS20,3061.905236665677,OUT046
FDV40,1126.5356907287903,OUT049
FDZ48,260.4945128548333,OUT010
FDS24,2520.9750402552377,OUT027
FDK44,2852.243889161893,OUT049
FDS48,2469.389100532442,OUT045
FDK26,488.90955322974844,OUT010
FDD23,3061.905236665677,OUT045
NCH54,2568.4321791201464,OUT017
NCP14,245.09483857256956,OUT010
FDM60,131.07514040971412,OUT010
FDV24,2473.902711631867,OUT017
FDH08,3602.762576026271,OUT018
FDS12,3009.0109763284827,OUT027
FDR39,4770.4079738605105,OUT027
FDP12,1002.4807948985398,OUT027
DRF60,5871.133905983622,OUT027
FDC09,1583.3147310156935,OUT035
FDF50,3074.2569502093406,OUT018
FDG28,3893.6387863924274,OUT035
NCE19,910.5637559924184,OUT017
NCM53,253.07629804392175,OUT010
NCN18,1712.454262243413,OUT049
FDF32,3130.507941920507,OUT035
FDF11,3866.9384922388913,OUT013
DRI59,3757.579883496316,OUT049
NCG54,2748.3911266306372,OUT035
FDM44,1577.9048860800767,OUT046
FDT57,3637.139340276845,OUT018
FDV24,2473.902711631867,OUT046
FDI50,573.5105861363319,OUT019
FDS09,755.0830938953836,OUT035
NCC31,4076.391528560789,OUT027
FDQ07,576.278556591648,OUT019
FDC22,3064.687431409193,OUT017
FDZ56,2748.3911266306372,OUT046
FDZ40,131.07514040971412,OUT019
FDS46,2954.2758449846956,OUT027
DRD24,2043.9699554131223,OUT045
FDV45,3064.687431409193,OUT017
FDL26,2500.137541162236,OUT045
FDA56,2014.1094972885296,OUT018
FDN27,1932.2259361211632,OUT046
FDM20,3875.9138363157067,OUT049
FDO16,1387.4728844947144,OUT017
FDL03,3064.687431409193,OUT035
FDE58,1930.0517748785453,OUT046
FDI02,2931.336042814695,OUT027
NCC55,131.07514040971412,OUT019
FDR03,3314.829033808192,OUT018
FDB14,1508.1618887521422,OUT017
FDR45,3877.1940767738333,OUT013
NCN07,2027.8105567469022,OUT017
FDM51,246.88742887890592,OUT019
FDT52,5871.133905983622,OUT027
FDL26,2486.72209810876,OUT046
NCZ42,3871.8579199723667,OUT046
DRI47,360.5821791628111,OUT019
FDW40,2046.317134540595,OUT013
FDN34,2748.3911266306372,OUT046
FDS01,2896.741786624419,OUT035
NCG55,1930.0517748785453,OUT045
FDC11,1430.7387892411043,OUT035
FDX35,3562.3687502269536,OUT018
NCB06,2554.7909906532072,OUT046
FDR09,576.278556591648,OUT019
FDC53,1530.6695129393336,OUT017
FDY45,4041.4933413051167,OUT013
FDA22,388.2745810299537,OUT010
FDE02,1523.9571642929843,OUT035
FDW21,1567.5972808037068,OUT045
FDV34,1153.5517053464007,OUT046
FDS59,1609.4122563755748,OUT049
NCW17,2019.517827795074,OUT017
NCK54,1930.0517748785453,OUT046
FDG17,573.5105861363319,OUT019
FDG35,2852.243889161893,OUT017
FDD08,131.07514040971412,OUT010
NCO07,3670.6258130810147,OUT017
FDJ10,284.08083554382915,OUT010
FDW36,1588.1196100332904,OUT017
FDW21,241.41961336327222,OUT010
FDY19,1932.2259361211632,OUT017
DRE03,777.5849629231105,OUT013
NCC55,671.3738012379429,OUT049
FDH52,136.13469409694935,OUT010
FDO09,4079.30980494518,OUT017
FDU43,3875.9722141360744,OUT045
FDX09,426.3124529952996,OUT010
FDH40,192.40183070354735,OUT019
FDW58,1588.1196100332904,OUT017
FDC47,3789.0130396920376,OUT017
NCR41,1523.9571642929843,OUT035
DRG49,3895.99440473904,OUT035
FDC52,4051.8814420923836,OUT027
FDY13,1155.9677836762614,OUT046
FDY35,711.1756700294189,OUT013
FDI35,3052.9193974716995,OUT017
NCU18,2049.3867828464845,OUT049
FDY33,2547.1477608861223,OUT018
FDC15,4194.43878289359,OUT027
FDU01,3061.905236665677,OUT049
NCU42,2748.3911266306372,OUT046
NCV29,2878.1835113236475,OUT018
NCY30,3061.905236665677,OUT017
FDQ46,1734.0794975227077,OUT049
FDG58,4076.391528560789,OUT027
FDK33,3672.9789600652416,OUT017
NCD07,1930.0517748785453,OUT045
NCX29,3996.745245581239,OUT027
NCT42,2469.389100532442,OUT013
DRN59,734.1802609197349,OUT035
FDI44,1313.4552393995382,OUT035
FDA45,2885.7817278031534,OUT049
FDP31,1057.1965900222517,OUT045
FDY01,1930.0517748785453,OUT046
FDT09,2030.558397338778,OUT018
DRH03,2812.641063657441,OUT027
FDA36,3059.0950275135233,OUT018
NCF31,2486.72209810876,OUT017
FDG14,2473.902711631867,OUT049
FDG28,5871.133905983622,OUT027
FDU14,4003.3382438266185,OUT049
FDY47,286.55133147215975,OUT019
FDI56,1477.9370050576658,OUT049
DRD01,1000.0024200575536,OUT013
FDM22,949.4491150715766,OUT046
FDH33,708.9217676540761,OUT013
DRZ24,1952.6460283831452,OUT013
NCQ38,1588.1196100332904,OUT046
FDO16,2357.2232356109957,OUT027
FDU07,4028.1636955494214,OUT027
NCB07,3064.687431409193,OUT013
FDU48,2030.558397338778,OUT045
NCM43,2582.3660431101175,OUT045
FDR31,358.25710857284326,OUT010
DRK49,670.3396649574836,OUT018
NCI30,576.5770785721402,OUT010
DRD60,3031.3389573289746,OUT017
NCG19,3822.2079604107066,OUT046
FDH12,1588.1196100332904,OUT035
FDM32,1504.7329169142495,OUT035
FDM27,2503.62472516015,OUT035
NCU53,4298.869269082547,OUT027
NCQ18,1535.455637183787,OUT046
FDS10,2949.994293440859,OUT013
FDB33,4188.216824566185,OUT027
FDI12,1515.645648603396,OUT013
NCW42,3743.1616804029168,OUT013
NCC06,2019.517827795074,OUT018
FDW02,2016.715090085275,OUT017
NCD43,1588.1196100332904,OUT017
FDM57,1403.0077081612628,OUT018
FDA58,3825.768122430403,OUT017
FDK56,3061.905236665677,OUT046
FDP52,3816.495842110911,OUT045
FDW20,2016.715090085275,OUT018
FDS52,1565.2174082852064,OUT049
NCT29,1993.7959578211282,OUT018
NCL54,2875.8419755667724,OUT013
FDC05,3080.077578141739,OUT045
FDF34,3075.169393848208,OUT035
FDP03,3005.5265360594803,OUT027
FDD32,187.00915788739553,OUT010
FDZ10,2019.517827795074,OUT045
FDZ40,909.3605572164882,OUT035
FDD51,670.3396649574836,OUT018
NCY30,431.53611431719287,OUT019
FDP58,3684.0088400603813,OUT017
FDV49,4091.3858645845057,OUT017
FDY24,131.07514040971412,OUT019
NCO55,1592.9898577606443,OUT017
FDR13,1930.0517748785453,OUT017
FDS51,1008.3804002591492,OUT017
FDP26,1588.1196100332904,OUT045
NCB54,3013.7373721105673,OUT027
FDF32,3075.169393848208,OUT017
FDN31,3061.877222257039,OUT018
DRM48,662.6509990534339,OUT017
FDN20,2748.3911266306372,OUT049
DRL01,3800.2763068660106,OUT046
FDV56,1592.9898577606443,OUT049
DRH13,2892.9973585796524,OUT027
FDA03,2469.389100532442,OUT017
FDF47,5871.133905983622,OUT027
FDX32,2469.389100532442,OUT046
FDX57,1530.6695129393336,OUT049
NCA30,3064.687431409193,OUT045
FDO49,777.5849629231105,OUT013
FDL04,248.67558370014518,OUT019
DRM48,665.4479268871899,OUT035
FDR16,3653.6629519367707,OUT013
NCC19,3061.877222257039,OUT018
NCE42,3840.809824081701,OUT045
FDY24,910.5637559924184,OUT017
FDH19,2852.243889161893,OUT049
FDJ46,2852.243889161893,OUT013
FDN45,576.5770785721402,OUT010
FDY08,2030.558397338778,OUT035
FDZ37,1430.3045651248449,OUT035
NCT30,738.1632377786258,OUT045
DRY23,670.3396649574836,OUT018
NCZ30,2011.416487353943,OUT018
FDC44,1919.779373971467,OUT018
FDB45,1588.1196100332904,OUT035
FDY04,2573.3861788859517,OUT013
FDM27,2549.957970038276,OUT046
FDZ43,3880.8462300175406,OUT017
FDT39,362.0361769394522,OUT019
NCC06,284.9348450164684,OUT019
FDL15,4076.391528560789,OUT027
FDL57,4054.387547196134,OUT017
FDU08,1530.6695129393336,OUT046
FDK40,4091.3858645845057,OUT017
FDQ12,573.809108116824,OUT010
FDS48,2473.902711631867,OUT017
FDP09,3670.181804375367,OUT045
FDW21,1535.455637183787,OUT049
FDY25,3031.3389573289746,OUT035
DRE13,1420.583526338753,OUT017
FDV43,131.07514040971412,OUT019
FDD22,1734.0794975227077,OUT045
FDM46,231.86056837980345,OUT019
NCO30,476.45498915153536,OUT010
FDM25,2852.243889161893,OUT046
NCN41,2014.1094972885296,OUT049
FDU24,1512.207144384305,OUT045
FDZ50,3061.905236665677,OUT046
FDP45,4009.9152023956294,OUT013
NCM54,2016.715090085275,OUT045
FDW10,427.4144358342947,OUT019
FDP20,2019.517827795074,OUT017
FDK32,2473.902711631867,OUT046
FDN52,1437.59738787009,OUT049
FDM58,1712.454262243413,OUT045
FDZ46,2931.336042814695,OUT027
NCA18,1930.0517748785453,OUT018
FDD35,2011.416487353943,OUT046
NCK31,736.6294389698613,OUT035
FDI40,2865.385320783481,OUT027
FDT50,236.14965285185008,OUT019
NCT06,2582.3660431101175,OUT046
FDT31,3061.905236665677,OUT035
FDT45,868.0893312574336,OUT049
FDT13,3061.905236665677,OUT045
FDO50,1490.1724577629714,OUT045
NCU18,283.9598135997996,OUT010
NCR54,3064.687431409193,OUT049
NCO18,2882.971518650999,OUT018
FDU09,912.7891250903995,OUT045
FDT13,3059.0950275135233,OUT018
FDE09,1734.0794975227077,OUT046
NCK53,246.88742887890592,OUT019
FDG45,3656.5698966387918,OUT049
DRH15,683.0639635780991,OUT035
FDO21,573.5105861363319,OUT019
FDD14,5059.895138482897,OUT027
FDC09,1583.3147310156935,OUT046
FDH45,1006.6077532710518,OUT027
FDV32,1124.3990258681729,OUT046
FDG12,1967.6228706077536,OUT035
FDS32,2030.558397338778,OUT013
NCL55,3812.858503908148,OUT018
DRE01,3879.017657224642,OUT035
DRE15,1321.3710306923253,OUT049
NCL42,3904.389320825728,OUT045
FDP31,1203.2858541774722,OUT013
FDN33,1516.010374698267,OUT018
FDZ59,2582.3660431101175,OUT046
FDE45,429.6151957551128,OUT010
FDJ07,1952.6460283831452,OUT013
FDQ45,3059.0950275135233,OUT018
FDM33,5871.133905983622,OUT027
FDO15,151.5453392605692,OUT010
FDM46,1537.5974173508957,OUT013
FDR03,3427.1704149882107,OUT045
FDY49,2672.7862403742515,OUT018
FDQ60,1960.5945613135214,OUT045
FDW10,2852.243889161893,OUT049
FDO51,682.5523319113154,OUT049
FDJ40,1605.104475448,OUT018
FDS20,3056.746617579358,OUT018
FDU45,1808.9262420926295,OUT013
FDV02,2748.3911266306372,OUT035
FDN09,3882.113504507309,OUT046
NCM55,5059.895138482897,OUT027
FDN23,2462.296583182226,OUT018
FDY31,361.42405137070557,OUT010
FDW03,245.09483857256956,OUT010
FDD14,3061.905236665677,OUT046
FDV23,2016.715090085275,OUT017
DRI03,2852.243889161893,OUT045
FDN13,1535.455637183787,OUT035
FDF45,1285.61973207044,OUT027
FDU46,1431.9495756809683,OUT035
FDB57,3747.3744898080226,OUT049
FDV12,1537.9032497439687,OUT049
FDQ58,2473.902711631867,OUT013
NCA18,1930.0517748785453,OUT017
FDH52,1000.4799875706741,OUT049
FDM24,2469.389100532442,OUT018
NCP43,4770.4079738605105,OUT027
NCO18,428.11589638056336,OUT019
FDM32,1494.178386537668,OUT017
NCL07,664.4368100975761,OUT017
FDK03,4013.150715496036,OUT013
FDP59,1583.3147310156935,OUT017
FDQ24,4000.9850968423916,OUT049
FDQ16,1609.4122563755748,OUT018
FDU44,2554.7909906532072,OUT013
FDH28,131.07514040971412,OUT010
FDV28,131.07514040971412,OUT019
FDM22,905.7619032146454,OUT045
FDR56,3064.687431409193,OUT046
FDV39,3075.169393848208,OUT049
FDU37,168.81231405161884,OUT019
FDQ11,573.809108116824,OUT010
FDX02,3760.069500078819,OUT045
NCS42,1510.207719300219,OUT018
FDY57,2812.641063657441,OUT027
FDB21,3856.187911581271,OUT049
FDE28,3796.6558853920146,OUT017
FDQ55,1917.1313900118582,OUT017
FDA48,3732.9875196012795,OUT049
FDZ19,2852.243889161893,OUT045
NCC43,4006.9020460953548,OUT045
NCV18,1410.5712629625302,OUT046
NCA42,2547.1477608861223,OUT018
FDY45,4049.3706031217803,OUT046
NCC30,2947.636251664563,OUT045
FDM57,1515.645648603396,OUT013
FDL09,386.73763887738676,OUT010
FDB09,3005.5265360594803,OUT027
FDT44,1960.5945613135214,OUT035
NCT06,4298.869269082547,OUT027
FDX26,3061.905236665677,OUT049
FDK32,2486.72209810876,OUT013
DRA12,2063.9244825901887,OUT046
FDO46,488.90955322974844,OUT010
FDE52,1518.6185586058575,OUT013
NCH42,3814.1426951266835,OUT045
FDV08,669.574885259702,OUT035
FDB47,3478.6458705885757,OUT018
FDC28,260.6155347988629,OUT010
FDD22,1919.779373971467,OUT046
FDS07,2938.2313484269775,OUT027
DRI13,3689.599359604466,OUT045
FDG32,3547.2140736512647,OUT018
FDU14,4015.9205026235636,OUT017
FDD28,132.65998887394827,OUT019
NCP41,1609.4122563755748,OUT017
FDS08,2852.243889161893,OUT049
FDX47,2536.788313982242,OUT045
FDC53,246.88742887890592,OUT019
FDQ19,3890.7268680700236,OUT035
FDL14,2486.72209810876,OUT045
FDM33,576.278556591648,OUT019
FDA51,1917.1313900118582,OUT045
FDZ27,737.3942186676433,OUT018
FDT04,673.0830468184405,OUT046
DRC13,2016.715090085275,OUT049
FDR16,5871.133905983622,OUT027
FDQ03,5871.133905983622,OUT027
FDE38,2695.9083112651488,OUT035
DRH23,1241.2931997679284,OUT027
FDT11,488.6110312492562,OUT019
FDD09,2967.3205765200896,OUT035
FDR40,1385.589772006548,OUT045
FDX07,3061.905236665677,OUT017
FDR07,1530.6695129393336,OUT035
FDA51,1924.5048655829007,OUT017
FDT59,575.5462029144569,OUT019
FDF20,3064.687431409193,OUT017
FDR13,1930.0517748785453,OUT045
FDY26,3662.0837002696044,OUT049
FDW04,2027.8105567469022,OUT017
FDK52,3783.325499200647,OUT017
FDN60,2534.231950147048,OUT049
FDM09,413.1451833794336,OUT019
FDP46,1438.5269371594468,OUT049
FDB50,168.04844786125415,OUT019
NCQ29,4066.7275461482354,OUT049
FDP16,5871.133905983622,OUT027
FDX33,2562.9650781106425,OUT018
FDP07,503.6222124404214,OUT010
FDN22,4005.111717474007,OUT046
FDF39,4081.1859342136554,OUT049
FDS21,988.407266485898,OUT017
NCM42,1592.9898577606443,OUT013
FDK50,383.7733373308698,OUT019
DRF13,4028.1636955494214,OUT027
FDH35,2574.0470860275036,OUT018
FDP60,1537.9032497439687,OUT018
DRJ49,3013.7373721105673,OUT027
NCT42,361.78436677196396,OUT019
FDE38,2690.4787915936904,OUT049
FDI04,3080.077578141739,OUT049
NCH54,2539.394783246427,OUT045
FDT56,937.954588344393,OUT049
DRD15,3608.0230933001526,OUT018
FDV58,3064.687431409193,OUT013
FDP21,3061.905236665677,OUT049
FDH05,3793.003732148308,OUT013
FDR10,4261.243919474253,OUT027
NCP06,2469.389100532442,OUT045
FDF33,1590.4993096268947,OUT049
DRK37,3061.905236665677,OUT013
DRH49,1388.1590961622042,OUT045
FDT58,2685.6282350394995,OUT013
FDD41,1588.1196100332904,OUT018
FDP40,1710.2248944963967,OUT018
FDM51,2865.385320783481,OUT027
FDO45,192.2825335053305,OUT010
FDW33,245.09483857256956,OUT010
FDY24,909.3605572164882,OUT045
FDB10,574.0954080875294,OUT010
FDM40,2049.3867828464845,OUT035
NCI06,3031.3389573289746,OUT017
FDW12,337.1379936371278,OUT019
FDX48,4076.391528560789,OUT027
NCW05,2889.0484256406257,OUT027
FDX27,1523.9571642929843,OUT017
DRM37,3080.077578141739,OUT045
FDA38,3886.2569801128843,OUT045
FDR36,671.5192620184429,OUT046
FDZ45,3119.2489673662803,OUT046
FDG05,2549.957970038276,OUT017
FDK28,4087.7337113407993,OUT013
FDV47,1419.372739898889,OUT045
FDN21,2554.7909906532072,OUT045
FDP20,3009.0109763284827,OUT027
FDI35,3052.9193974716995,OUT045
DRY23,708.9217676540761,OUT013
FDA56,2011.416487353943,OUT017
FDB09,2014.1094972885296,OUT013
NCO26,2954.2758449846956,OUT027
FDQ49,2511.5966713285634,OUT018
FDI52,3005.5265360594803,OUT027
FDZ44,2954.2758449846956,OUT027
FDZ09,2579.555833957964,OUT018
FDY03,1917.1313900118582,OUT049
NCG42,2027.8105567469022,OUT017
DRI13,5871.133905983622,OUT027
FDQ32,2016.715090085275,OUT013
FDW16,1490.1724577629714,OUT035
FDU27,739.7676519802127,OUT046
FDR28,382.6921716657465,OUT010
FDQ49,378.5591200226116,OUT010
FDS37,1930.0517748785453,OUT046
FDW26,3524.3761204974244,OUT018
FDX12,3682.49052527058,OUT018
NCP06,2471.8178693879418,OUT013
FDW45,360.22186376155264,OUT010
NCN30,1523.9571642929843,OUT049
FDN24,868.0893312574336,OUT049
NCL41,1002.4807948985398,OUT027
FDR02,261.6260119576519,OUT019
FDD09,449.376870346931,OUT010
FDS33,194.06456458287306,OUT010
FDU22,1993.7959578211282,OUT045
FDI53,2573.3861788859517,OUT013
DRH01,2852.243889161893,OUT049
FDX32,2071.6515288922096,OUT013
NCP30,668.7758801574861,OUT018
FDB60,3064.687431409193,OUT045
FDB14,1513.9645441501902,OUT049
NCP02,916.3753892137474,OUT035
FDJ10,2030.558397338778,OUT017
FDG34,1710.2248944963967,OUT046
NCB18,1434.9380769475968,OUT017
FDM16,1105.292184981724,OUT049
FDW25,1403.0077081612628,OUT018
FDB35,223.86236853932735,OUT010
DRN11,2104.1173797699494,OUT013
FDF41,573.7968861070373,OUT019
FDH16,1443.265046631464,OUT045
NCQ50,3480.999017572803,OUT018
