Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1584.0747124229104,OUT049
FDW14,1450.4263043773865,OUT017
NCN55,575.0332450096972,OUT010
FDQ58,2498.8533666426097,OUT017
FDY38,5828.75418123239,OUT027
FDH56,1957.3501023326544,OUT046
FDL48,737.1073650947692,OUT018
FDC48,2207.2219884534,OUT027
FDN33,1529.213188538787,OUT045
FDA36,3059.649774989707,OUT017
FDT44,1965.7076586038775,OUT017
FDQ56,1423.765178253764,OUT045
NCC54,574.765808915397,OUT019
FDU11,2014.7816876770996,OUT049
DRL59,836.3310986223391,OUT013
FDM24,2485.006975740365,OUT049
FDI57,3117.59556223734,OUT045
DRC12,3061.1761752199873,OUT018
NCM42,2913.949467130766,OUT027
FDA46,507.82613460338735,OUT010
FDA31,2852.309033558186,OUT013
NCJ31,3888.2166398516797,OUT035
FDG52,738.121413051508,OUT046
NCL19,289.9138762585188,OUT019
FDS10,3011.9474606471986,OUT035
FDX22,562.6762246277123,OUT010
NCF19,738.121413051508,OUT035
NCE06,2566.178169521694,OUT046
DRC27,3907.8473080983545,OUT046
FDE21,1957.3501023326544,OUT035
NCR42,130.47372232589296,OUT019
FDX51,3061.1761752199873,OUT018
NCR06,664.6684862422086,OUT018
FDU31,5828.75418123239,OUT027
FDU59,2572.702033119022,OUT017
FDR03,5822.447829138846,OUT027
FDS49,2122.44822229159,OUT027
FDD48,270.74745500907227,OUT010
NCF18,3063.1908007412117,OUT017
NCD43,2837.380558132607,OUT027
NCD54,2140.282654550245,OUT018
FDY19,271.08967913540494,OUT010
NCY54,2852.309033558186,OUT017
NCL19,2473.094078300944,OUT018
FDP23,572.4836635343122,OUT010
FDC26,1691.5726174971105,OUT013
FDR14,130.47372232589296,OUT010
NCS41,3059.649774989707,OUT035
FDF41,3925.6013725945663,OUT035
FDU34,2014.7816876770996,OUT046
DRH11,964.0110241156524,OUT046
FDM03,1584.0747124229104,OUT013
FDS31,3017.005913153161,OUT017
FDJ20,2014.7816876770996,OUT017
FDV44,5207.059317963744,OUT027
FDG02,3059.649774989707,OUT049
FDA09,2985.6875390920836,OUT013
FDT04,707.5918583328349,OUT013
FDL58,572.865422553392,OUT019
FDE52,1489.5716747859149,OUT045
FDW12,2473.094078300944,OUT035
FDL51,3629.3732653533634,OUT017
NCY42,3028.8803115543283,OUT027
FDR07,1531.7922718669724,OUT017
FDN40,2494.4693490638597,OUT045
FDB35,2700.7087810849225,OUT027
FDA22,2572.702033119022,OUT017
NCL06,4083.8369766695278,OUT046
FDI35,3017.005913153161,OUT013
NCW42,3742.386931589983,OUT045
NCX06,2993.7072798495187,OUT049
FDC37,2885.056624418154,OUT027
FDZ14,2014.7816876770996,OUT018
DRG49,3896.9461270453003,OUT049
NCG06,4054.8456490000967,OUT045
DRC36,2850.0135687740176,OUT045
FDV21,282.16734997829195,OUT019
FDB53,2479.7315802526937,OUT046
DRP47,574.765808915397,OUT019
FDA14,2477.5848551004415,OUT013
DRC24,2494.4693490638597,OUT035
FDW21,1562.7687655968411,OUT018
NCH29,1531.7922718669724,OUT046
FDU58,3059.649774989707,OUT013
FDY27,2870.6458020653868,OUT017
FDV56,1586.1877644643503,OUT035
FDT59,3834.130709023086,OUT046
FDB23,3766.769897560433,OUT046
FDR49,736.0220081026098,OUT045
FDB03,575.3161469666574,OUT010
FDN39,2572.702033119022,OUT045
FDX02,5828.75418123239,OUT027
FDQ16,2870.56482138204,OUT027
FDU35,1534.6036256278637,OUT018
NCT29,2014.7816876770996,OUT013
FDZ27,738.121413051508,OUT046
FDN57,2031.5996640191586,OUT017
FDA03,2477.5848551004415,OUT018
FDZ36,3059.649774989707,OUT045
NCU05,1458.0206893046882,OUT013
FDT39,2485.006975740365,OUT018
FDK60,1531.7922718669724,OUT017
FDZ25,2734.2762266127284,OUT017
FDG12,2014.7816876770996,OUT046
DRB01,501.94895009398664,OUT019
NCC43,5828.75418123239,OUT027
FDX13,572.2162274400118,OUT019
FDM22,871.6547214904926,OUT049
FDJ03,1048.0870557224082,OUT027
FDU14,3803.5102459384425,OUT018
FDB33,380.28652700477573,OUT010
FDP27,3059.649774989707,OUT046
FDO38,162.2800055136986,OUT010
FDE28,5828.75418123239,OUT027
FDO27,1529.213188538787,OUT035
DRL23,2870.56482138204,OUT027
FDS28,964.0110241156524,OUT046
FDX24,1529.6499952877818,OUT013
FDZ02,1531.7922718669724,OUT035
FDL46,1957.3501023326544,OUT045
FDS60,4872.194533733079,OUT027
NCO06,657.5880249533102,OUT017
FDO16,1419.783554840593,OUT035
FDC60,1452.0618944652254,OUT049
FDA48,3513.7108305656466,OUT018
FDZ36,5207.059317963744,OUT027
FDK27,2012.940812718617,OUT045
FDW23,661.229317630022,OUT018
FDM14,1659.989706879591,OUT018
FDM14,1584.0747124229104,OUT013
FDW60,2868.631176544162,OUT018
FDE21,1957.3501023326544,OUT013
NCM42,1586.1877644643503,OUT035
FDY59,224.0180360329857,OUT010
DRI49,1368.6553191368675,OUT049
FDT28,366.35083295346544,OUT019
FDQ22,661.229317630022,OUT018
FDR60,1311.6531482857474,OUT049
FDC50,232.41633885965035,OUT019
FDV24,2485.006975740365,OUT013
DRF48,491.6288219392128,OUT010
FDQ47,663.7631584801684,OUT046
DRN36,1531.7922718669724,OUT049
NCY06,2017.608893304394,OUT035
FDE52,1481.796902593147,OUT035
NCB54,2014.7816876770996,OUT045
NCF31,2494.4693490638597,OUT035
FDJ08,5212.6420971819825,OUT027
NCC07,1584.0747124229104,OUT017
NCD19,1236.9513989332002,OUT027
FDL46,1974.0693007971463,OUT049
FDM20,3921.8313272675755,OUT045
NCI06,446.27845048719047,OUT010
DRM11,4092.1822119527264,OUT035
NCH07,2546.6003618346135,OUT018
FDS23,2025.8338267046183,OUT013
FDO49,735.8426504408759,OUT018
FDS35,1061.3245077357014,OUT049
DRK39,1394.6626518316418,OUT045
DRI39,928.5073900406381,OUT049
FDV04,2546.6003618346135,OUT017
NCN14,3059.649774989707,OUT035
FDH08,3823.395681153417,OUT013
FDS20,3059.649774989707,OUT046
FDV40,1104.6934172912995,OUT049
FDZ48,258.86065036595,OUT010
FDS24,2554.3965132086314,OUT027
FDK44,2852.309033558186,OUT049
FDS48,2479.7315802526937,OUT045
FDK26,492.3588681965081,OUT010
FDD23,3059.649774989707,OUT045
NCH54,2566.178169521694,OUT017
NCP14,239.76543148964,OUT010
FDM60,130.47372232589296,OUT010
FDV24,2485.006975740365,OUT017
FDH08,3627.2545488999976,OUT018
FDS12,3005.839257398413,OUT027
FDR39,4905.022007923907,OUT027
FDP12,980.4227392500997,OUT027
DRF60,5828.75418123239,OUT027
FDC09,1575.6498976563169,OUT035
FDF50,3068.8148393342212,OUT018
FDG28,3914.0337064702285,OUT035
NCE19,921.0995475538525,OUT017
NCM53,248.8704097067644,OUT010
NCN18,1679.2650535399664,OUT049
FDF32,3127.831625653975,OUT035
FDF11,3890.153386734397,OUT013
DRI59,3761.014346520094,OUT049
NCG54,2734.2762266127284,OUT035
FDM44,1565.4154533684132,OUT046
FDT57,3676.822699505195,OUT018
FDV24,2485.006975740365,OUT046
FDI50,572.4991293969721,OUT019
FDS09,754.002572920471,OUT035
NCC31,4065.2007155443116,OUT027
FDQ07,575.0487108723571,OUT019
FDC22,3063.1908007412117,OUT017
FDZ56,2734.2762266127284,OUT046
FDZ40,130.47372232589296,OUT019
FDS46,2941.073577463603,OUT027
DRD24,2045.3238881486707,OUT045
FDV45,3059.649774989707,OUT017
FDL26,2498.8533666426097,OUT045
FDA56,2014.7816876770996,OUT018
FDN27,1962.8753941931798,OUT046
FDM20,3896.4329972835053,OUT049
FDO16,1393.5712262850925,OUT017
FDL03,3063.1908007412117,OUT035
FDE58,1957.3501023326544,OUT046
FDI02,2925.240981864161,OUT027
NCC55,130.47372232589296,OUT019
FDR03,3277.7530756985734,OUT018
FDB14,1511.4629692180345,OUT017
FDR45,3886.871400087665,OUT013
NCN07,2025.8338267046183,OUT017
FDM51,247.01776095569824,OUT019
FDT52,5828.75418123239,OUT027
FDL26,2496.0268270856764,OUT046
NCZ42,3901.340014099833,OUT046
DRI47,365.1466439984407,OUT019
FDW40,2045.3238881486707,OUT013
FDN34,2734.2762266127284,OUT046
FDS01,2890.361867874859,OUT035
NCG55,1957.3501023326544,OUT045
FDC11,1450.4263043773865,OUT035
FDX35,3591.4615623249283,OUT018
NCB06,2550.4881905367038,OUT046
FDR09,574.765808915397,OUT019
FDC53,1531.7922718669724,OUT017
FDY45,4036.110422286946,OUT013
FDA22,385.20027238692865,OUT010
FDE02,1529.213188538787,OUT035
FDW21,1562.7687655968411,OUT045
FDV34,1145.1775664110053,OUT046
FDS59,1586.1877644643503,OUT049
NCW17,2017.608893304394,OUT017
NCK54,1957.3501023326544,OUT046
FDG17,572.4991293969721,OUT019
FDG35,2850.0135687740176,OUT017
FDD08,130.47372232589296,OUT010
NCO07,3629.3732653533634,OUT017
FDJ10,282.68927452712376,OUT010
FDW36,1575.6498976563169,OUT017
FDW21,239.3342353114896,OUT010
FDY19,1960.4979176804004,OUT017
DRE03,781.9202956718464,OUT013
NCC55,664.2914903421947,OUT049
FDH52,134.59812587096636,OUT010
FDO09,4078.1190937975794,OUT017
FDU43,3895.5288956205704,OUT045
FDX09,421.8600133812178,OUT010
FDH40,203.03461000355526,OUT019
FDW58,1575.6498976563169,OUT017
FDC47,3806.665873922357,OUT017
NCR41,1526.7784948319756,OUT035
DRG49,3916.1925433815522,OUT035
FDC52,4051.7908850172007,OUT027
FDY13,1147.785721517192,OUT046
FDY35,718.3796840679563,OUT013
FDI35,3043.0052782155176,OUT017
NCU18,2045.3238881486707,OUT049
FDY33,2546.6003618346135,OUT018
FDC15,4159.03725185162,OUT027
FDU01,3059.649774989707,OUT049
NCU42,2734.2762266127284,OUT046
NCV29,2868.631176544162,OUT018
NCY30,3059.649774989707,OUT017
FDQ46,1691.5726174971105,OUT049
FDG58,4065.2007155443116,OUT027
FDK33,3629.3732653533634,OUT017
NCD07,1952.7673401660277,OUT045
NCX29,4014.6742432338597,OUT027
NCT42,2477.5848551004415,OUT013
DRN59,734.9398713731078,OUT035
FDI44,1313.5442473884978,OUT035
FDA45,2870.6458020653868,OUT049
FDP31,1053.269031883913,OUT045
FDY01,1952.7673401660277,OUT046
FDT09,2025.8338267046183,OUT018
DRH03,2803.345477785244,OUT027
FDA36,3057.6351494684823,OUT018
NCF31,2496.0268270856764,OUT017
FDG14,2485.006975740365,OUT049
FDG28,5828.75418123239,OUT027
FDU14,3993.98550507368,OUT049
FDY47,286.7785003280152,OUT019
FDI56,1489.5716747859149,OUT049
DRD01,1016.0399923461842,OUT013
FDM22,959.8820662403856,OUT046
FDH33,711.9438581902359,OUT013
DRZ24,1968.8197992096116,OUT013
NCQ38,1577.1541920014906,OUT046
FDO16,2358.2568842587098,OUT027
